[30.00 → 31.26]  ¿Ya pusiste a grabar?
[31.34 → 32.30]  Sí, ya está grabado.
[40.30 → 45.52]  Buenos días para todos, estamos en la sesión número uno del Comité Asesor de Programa Ciencia Política,
[45.72 → 48.26]  contamos con la presencia del profesor Alejandro Lozano,
[48.44 → 52.22]  quien preside el comité, el profesor Fabián Rodolfo Acosta,
[53.14 → 57.56]  representante estudiantil Rodrigo Steven Rojas, Ana Sofía Rendón,
[57.56 → 60.08]  José Miguel Bustamante y Mariana Barreto,
[60.50 → 65.16]  y los asesores de la Secretaría y el Área Curricular de Ciencia Política.
[65.26 → 68.92]  La agenda que tenemos para hoy es en Agenda Asuntos Estudiantiles,
[69.62 → 71.84]  Cancelaciones Temporáneas de Asignaturas,
[72.04 → 74.30]  Cancelaciones Temporáneas de Asignaturas y Carga Mínima,
[74.44 → 76.34]  Cancelación de Periódico Académico,
[76.58 → 81.70]  Cambio de Grupo, Equivalencia, Homologación y Convalidación de Asignaturas,
[81.70 → 88.02]  Otorgamiento de Cupo Extraordinario de Créditos, Reingresos, Suficiencia de Lenguaje Estranjera,
[89.12 → 91.40]  Translados, Interfacultades, Intercedes,
[92.18 → 94.96]  y también vamos a hacer la presentación de la programación académica
[94.96 → 98.34]  y la recomendación de los cursos de admisión regular.
[99.54 → 102.82]  Entonces, ¿iniciamos con los estudiantiles?
[103.26 → 104.96]  Sí, sí, lo si quieres.
[105.46 → 109.14]  Me enciendo mientras esto va agarrando.
[110.00 → 118.14]  Bueno, pues a grandes rasgos, quisiera comentarles de unos casos puntuales
[119.00 → 121.60]  y si tienen dudas sobre algunos de los casos que tenemos en la agenda,
[121.84 → 125.62]  pues también las atendemos con el fin de que teniendo en cuenta que
[125.62 → 130.48]  varios de los casos son simplemente de trámite, es decir, no requieren discusión,
[131.74 → 135.50]  pues podamos darle paso a Paula para que presente el tema de la programación.
[135.86 → 138.72]  Entonces, bueno, mientras carga la agenda, únicamente comentar
[138.72 → 141.12]  que probablemente, bueno, no probablemente no,
[141.20 → 144.12]  que vamos a estudiar el caso de Paulina Parejas Ramírez
[144.12 → 150.52]  que solicitaba la convalidación y la homologación de unas asignaturas
[150.52 → 154.48]  que vio en su pregrada sociología, una equivalencia de asignaturas,
[154.56 → 162.46]  porque no han llegado los conceptos de los docentes de la homologación de esas asignaturas.
[162.76 → 166.54]  Son unas asignaturas que la estudiante cursó en el IEPRI,
[166.54 → 172.68]  entonces pues no ha llegado esos conceptos
[172.68 → 183.32]  y tampoco nos ha llegado el concepto de la asignatura de diseño e investigación
[184.12 → 187.16]  sobre los otros casos, no sé si tuviera una oportunidad de revisarlos
[187.16 → 190.34]  si tengan alguna inquietud sobre alguno de ellos
[191.00 → 193.70]  y comentar y solicitar a la Secretaría Académica
[193.70 → 197.96]  que nos permita incluir un caso adicional de cambio de grupo de trabajo de grado,
[197.98 → 201.22]  van dos casos, el de Gabriel Rodríguez Maestri y el de Manuel Alejandro Elizaraza
[201.76 → 205.24]  y nos llegó un nuevo caso a una estudiante que es Laura Natalia Bolívar Zora
[205.24 → 208.32]  para poder hacer el cambio y que al final del semestre no tenga que subirle la nota
[208.32 → 211.02]  el profesor que no corresponde.
[211.16 → 214.10]  Entonces, pues solicitarles que nos permitan incluir ese caso.
[218.12 → 221.48]  ¿Las cancelaciones vienen con concepto de bienestar, las que se requieren?
[221.48 → 228.24]  No viene ninguna con concepto de bienestar, Lu, porque
[228.24 → 232.18]  digamos que obedecen a motivos personales de los estudiantes
[232.18 → 236.60]  en los cuales bienestar no tiene como injerencia,
[236.84 → 241.28]  entonces pues uno de ellos es un viaje para estudios,
[241.34 → 248.00]  otro es un viaje para concursar en una competencia deportiva
[249.02 → 253.74]  y los otros son por razones académicas, igual pues ahí en las justificaciones está,
[254.14 → 257.28]  entonces esos no requieren concepto de bienestar, por eso no van con ese concepto.
